berry	foam
148,29,31	115,114,112
110,21,25	118,120,119
128,23,27	159,160,146
104,23,29	106,107,101
92,16,20	182,178,167
126,21,25	87,82,79
150,30,29	163,163,161
151,45,32	144,144,136
159,64,34	79,80,75
116,19,26	114,113,108
120,17,21	106,107,102
119,20,25	129,129,127
152,39,33	73,73,71
164,81,39	92,88,87
179,106,29	206,200,186
194,104,54	100,97,92
188,100,52	90,89,87
191,109,51	108,107,103
186,99,46	70,66,63
182,97,43	149,148,143
202,129,61	142,141,136
181,96,55	174,171,162
180,87,44	153,150,145
173,70,37	203,200,195
107,17,19	112,108,105
143,28,33	113,110,103
140,30,31	68,68,66
111,16,20	99,99,97
136,26,29	107,106,102
164,47,40	116,112,109
96,11,14	75,73,74
96,12,10	120,120,120
152,39,33	80,77,72
135,27,27	167,165,152
94,14,15	140,139,134
124,32,35	116,115,110
87,15,18	131,126,122
125,20,24	52,47,44
160,41,37	108,104,101
198,157,77	114,110,101
200,163,74	109,106,97
190,143,55	196,195,190
198,151,73	120,120,112
197,156,64	40,39,37
153,47,31	151,148,143
140,27,33	106,105,101
164,74,40	109,111,108
176,94,47	89,89,81
169,85,51	155,151,140
166,62,35	114,115,110
178,88,36	199,199,189
189,111,49	119,119,117
179,94,40	108,106,94
167,69,34	92,91,89
159,46,28	109,106,97
166,67,35	114,113,109
181,94,51	180,178,166
158,40,26	130,131,117
143,33,34	144,145,140
193,131,54	114,113,111
180,142,41	152,150,137
197,147,74	160,156,153
157,39,29	119,113,101
173,74,42	151,146,142
156,59,27	78,78,76
187,104,60	115,112,107
187,98,58	157,149,136
162,63,31	136,129,121
161,62,31	173,171,159
175,52,45	184,185,179
168,46,41	167,167,159
168,45,47	181,180,175
176,63,57	108,107,105
184,66,64	139,141,136
193,166,49	71,68,61
187,152,36	168,164,155
173,98,33	93,92,90
183,123,37	143,140,131
181,156,37	45,43,44
208,144,96	113,106,100
205,153,93	61,57,54
170,94,45	122,113,104
181,96,57	35,34,32
184,95,55	191,190,185
148,31,24	85,84,82
173,50,43	188,188,178
174,44,42	142,141,136
162,37,35	121,118,111
128,20,20	111,111,103
133,24,27	129,126,117
121,21,23	95,90,86
100,18,22	174,169,150
103,21,27	118,117,112
94,14,15	146,146,136
176,53,38	117,118,112
185,87,52	138,134,122
188,65,49	177,177,167
183,78,49	43,42,40
175,70,40	177,176,158
158,70,24	126,126,116
181,91,38	46,46,44
176,89,36	190,191,185
172,77,33	198,197,195
183,97,36	91,91,89
169,77,26	128,125,118
165,67,30	128,127,122
153,46,28	186,187,179
101,16,21	192,189,182
125,20,24	82,79,74
175,66,46	172,172,162
199,158,78	131,131,123
210,171,80	111,112,104
197,120,64	154,153,148
195,131,57	148,144,132
158,61,26	92,93,88
143,61,14	143,140,133
140,45,23	194,192,177
131,58,17	151,152,144
158,60,57	51,52,46
153,57,35	168,165,150
188,100,50	58,58,50
194,112,54	101,102,96
199,126,71	173,173,165
200,123,77	137,134,125
190,107,75	139,135,126
196,159,89	154,148,134
178,115,61	171,163,142
196,124,76	150,143,135
201,121,72	132,125,117
198,141,64	96,93,88
194,134,64	29,28,26
204,148,71	113,108,104
191,147,60	100,98,99
167,70,35	130,128,115
174,83,39	104,100,97
203,146,57	57,56,52
177,120,17	70,69,67
191,144,28	146,145,140
200,171,43	114,109,106
169,136,20	125,122,117
198,153,34	143,138,132
177,134,39	150,149,145
170,127,32	164,161,146
190,164,53	134,135,130
175,129,31	84,81,76
188,171,53	118,117,113
168,148,25	117,114,109
186,110,52	126,127,122
194,115,56	98,98,96
166,80,21	112,112,112
185,118,40	116,115,113
183,115,34	89,89,87
167,133,46	134,133,131
176,114,29	149,139,129
150,67,17	141,138,131
136,39,22	44,44,42
175,153,31	164,161,152
182,98,54	122,120,108
213,140,89	169,168,166
207,141,89	82,78,75
210,150,98	138,139,131
187,99,51	77,78,73
199,166,59	77,72,68
208,187,78	148,148,148
199,175,85	105,104,100
180,151,59	118,118,116
207,187,88	173,172,167
195,173,54	62,62,60
207,185,76	45,44,42
162,126,30	95,96,91
72,16,19	97,93,82
101,15,16	67,66,61
139,25,24	128,122,110
159,36,28	115,114,112
146,36,21	152,146,130
94,15,18	155,154,152
111,20,25	173,168,148
165,39,27	112,112,110
168,48,34	50,49,44
169,62,44	96,96,86
193,98,66	101,98,93
156,40,25	111,110,105
168,85,35	155,147,134
164,58,32	84,80,79
156,47,44	67,64,55
173,84,42	113,105,92
139,27,23	95,94,90
175,108,27	211,209,196
199,159,46	172,168,167
191,159,46	110,107,100
191,163,53	127,126,121
161,77,17	96,92,91
111,17,15	80,76,75
188,117,51	130,126,123
192,158,51	119,116,107
172,100,28	167,166,161
174,102,28	128,128,120
120,25,19	138,137,135
180,98,38	189,186,179
196,153,48	145,145,137
174,102,26	172,170,158
182,141,35	69,68,66
187,112,55	138,138,138
212,168,97	145,142,133
207,157,94	170,163,153
198,157,67	105,104,99
208,159,92	170,166,163
183,103,66	98,97,95
177,82,52	71,68,63
141,32,29	55,55,57
143,58,21	196,192,183
170,75,43	185,180,174
99,18,17	186,185,181
147,67,32	114,105,98
184,150,122	99,96,91
152,64,24	155,152,135
181,115,39	54,51,46
